Graphite 3.0.11

Simulation (Host) Timers: 
Start Time (in microseconds)       6431805
Stop Time (in microseconds)        13099180
Shutdown Time (in microseconds)    17776273
                                                               | Tile 0          | Tile 1          | Tile 2          | Tile 3          | Tile 4          | Tile 5          | Tile 6          | Tile 7          | Tile 8          | Tile 9          | Tile 10         | Tile 11         | Tile 12         | Tile 13         | Tile 14         | Tile 15         | Tile 16         | Tile 17         | Tile 18         | Tile 19         | Tile 20         | Tile 21         | Tile 22         | Tile 23         | Tile 24         | Tile 25         | Tile 26         | Tile 27         | Tile 28         | Tile 29         | Tile 30         | Tile 31         | Tile 32         | Tile 33         | Tile 34         | Tile 35         | Tile 36         | Tile 37         | Tile 38         | Tile 39         | Tile 40         | Tile 41         | Tile 42         | Tile 43         | Tile 44         | Tile 45         | Tile 46         | Tile 47         | Tile 48         | Tile 49         | Tile 50         | Tile 51         | Tile 52         | Tile 53         | Tile 54         | Tile 55         | Tile 56         | Tile 57         | Tile 58         | Tile 59         | Tile 60         | Tile 61         | Tile 62         | Tile 63         | 
      Network Recv                                             |  48712          |  0              |  18587          |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
    Branch Predictor Statistics                                |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 | 
      Num Correct                                              |  347            |  195            |  197            |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
      Num Incorrect                                            |  116            |  88             |  83             |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
      Type                                                     |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) | 
    Micro-Op Statistics                                        |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 | 
      Total                                                    |  5184           |  2934           |  2900           |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
      Generic                                                  |  2408           |  1341           |  1324           |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
      Integer                                                  |  653            |  406            |  402            |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
      Floating Point                                           |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
      Branch                                                   |  463            |  283            |  280            |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
      Load                                                     |  758            |  491            |  486            |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
      Store                                                    |  902            |  413            |  408            |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
    Register File Statistics                                   |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 | 
      Integer Reads                                            |  4339           |  2291           |  2266           |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
      Integer Writes                                           |  2220           |  1071           |  1058           |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
      Floating Point Reads                                     |  119            |  56             |  56             |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
      Floating Point Writes                                    |  65             |  35             |  35             |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
    Execution Unit Statistics                                  |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 | 
      ALU Accesses                                             |  649            |  405            |  401            |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
      Mul Accesses                                             |  4              |  1              |  1              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
      FPU Accesses                                             |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
    Fence Instructions                                         |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 | 
      Explicit LFENCE, SFENCE, MFENCE                          |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
      Implicit MFENCE                                          |  17             |  15             |  13             |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
    Detailed Stall Time Breakdown (in nanoseconds)             |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 | 
